('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         960268 function calls (935630 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 5140/403    0.006    0.000    0.010    0.000 _parser.py:178(getwidth)
     8954    0.004    0.000    0.010    0.000 dammit.py:355(substitute_xml)
      202    0.001    0.000    0.010    0.000 _compiler.py:511(_compile_info)
    11811    0.009    0.000    0.010    0.000 {method 'join' of 'str' objects}
       89    0.001    0.000    0.010    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.009    0.009 _lxml.py:1(<module>)
     1234    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      234    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
      707    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
3798/3674    0.006    0.000    0.009    0.000 {built-in method __new__ of type object at 0x1083bd5b0}
     2791    0.004    0.000    0.009    0.000 element.py:1291(__new__)
     1234    0.009    0.000    0.009    0.000 {built-in method posix.stat}
      196    0.000    0.000    0.008    0.000 _parser.py:98(closegroup)
     8349    0.008    0.000    0.008    0.000 element.py:376(setup)
     8193    0.003    0.000    0.008    0.000 element.py:2301(__ne__)
        1    0.000    0.000    0.008    0.008 _content.py:1(<module>)
      530    0.001    0.000    0.008    0.000 _connection.py:426(next_event)
     2767    0.006    0.000    0.008    0.000 __init__.py:809(pushTag)
        1    0.000    0.000    0.008    0.008 _events.py:1(<module>)
    13028    0.005    0.000    0.007    0.000 _parser.py:261(get)
        1    0.000    0.000    0.007    0.007 _multipart.py:1(<module>)
      279    0.001    0.000    0.007    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.007    0.007 _urls.py:1(<module>)
     9006    0.007    0.000    0.007    0.000 element.py:84(__getattr__)
  140/104    0.000    0.000    0.007    0.000 typing.py:515(__getitem__)
     9783    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:645(parent)
      297    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
      446    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
2235/2234    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     2791    0.004    0.000    0.006    0.000 __init__.py:732(string_container)
      104    0.001    0.000    0.006    0.000 typing.py:694(Union)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
      263    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3993    0.003    0.000    0.006    0.000 _lxml.py:443(data)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
     9266    0.006    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
     2779    0.004    0.000    0.006    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
      468    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       77    0.001    0.000    0.006    0.000 css_parser.py:462(parse_attribute_selector)
     3120    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.005    0.003 _streams.py:1(<module>)
      242    0.000    0.000    0.005    0.000 _decoders.py:95(decode)
      242    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    20760    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 _htmlparser.py:1(<module>)
        2    0.000    0.000    0.005    0.003 core.py:1(<module>)
        2    0.000    0.000    0.005    0.003 readers.py:1(<module>)
      325    0.001    0.000    0.005    0.000 css_parser.py:1094(selector_iter)
     8246    0.003    0.000    0.005    0.000 element.py:2280(__eq__)
    10774    0.004    0.000    0.005    0.000 _parser.py:256(match)
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
      128    0.002    0.000    0.005    0.000 _compiler.py:467(_get_charset_prefix)
       19    0.002    0.000    0.005    0.000 enum.py:1708(convert_class)
       13    0.001    0.000    0.005    0.000 enum.py:919(_convert_)
    20773    0.004    0.000    0.004    0.000 _parser.py:240(__next)
      494    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
    11420    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.004    0.004 _readers.py:1(<module>)
        1    0.000    0.000    0.004    0.004 staggered.py:1(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
      260    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      530    0.001    0.000    0.004    0.000 _connection.py:398(_extract_next_receive_event)
        2    0.000    0.000    0.004    0.002 element.py:2723(find_all)
        2    0.002    0.001    0.004    0.002 element.py:1079(_find_all)
        1    0.000    0.000    0.004    0.004 _models.py:641(text)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
        1    0.000    0.000    0.004    0.004 _typing.py:1(<module>)
      515    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
     8171    0.003    0.000    0.004    0.000 element.py:1820(is_empty_element)
      694    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     2766    0.003    0.000    0.004    0.000 __init__.py:786(popTag)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
      350    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       34    0.001    0.000    0.004    0.000 enum.py:528(__new__)
      379    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     6945    0.002    0.000    0.004    0.000 _parser.py:176(append)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
       92    0.000    0.000    0.003    0.000 typing.py:1476(__getitem__)
     5558    0.002    0.000    0.003    0.000 element.py:1234(_self_and)
       13    0.000    0.000    0.003    0.000 dataclasses.py:638(_frozen_get_del_attr)
        2    0.000    0.000    0.003    0.002 _eventloop.py:1(<module>)
  235/229    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.003    0.003 _ssl.py:1(<module>)
    11099    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.003    0.003 core.py:21(where)
     2280    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
    13697    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     1790    0.001    0.000    0.003    0.000 typing.py:1215(__setattr__)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      446    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.003    0.003 _common.py:33(wrapper)
        1    0.000    0.000    0.003    0.003 _common.py:51(files)
        1    0.000    0.000    0.003    0.003 memory.py:1(<module>)
       86    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.003    0.003 _common.py:107(from_package)
        1    0.000    0.000    0.003    0.003 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.003    0.003 _adapters.py:149(_native)
        1    0.000    0.000    0.003    0.003 _adapters.py:144(_reader)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _urlparse.py:1(<module>)
    11368    0.003    0.000    0.003    0.000 element.py:2771(descendants)
      119    0.000    0.000    0.003    0.000 typing.py:1485(copy_with)
        1    0.000    0.000    0.003    0.003 _client.py:239(_get_proxy_map)
        1    0.000    0.000    0.003    0.003 _utils.py:30(get_environment_proxies)
        1    0.000    0.000    0.003    0.003 request.py:2697(getproxies)
      234    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 _types.py:1(<module>)
        1    0.000    0.000    0.003    0.003 request.py:2674(getproxies_macosx_sysconf)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxies}
      149    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    10485    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
     8959    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
